HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,4,1289766669,726,11
1,1,61,1289766701,1022,24
1,1,60,1289766701,1865,16
1,1,19,1289766704,491,2
1,1,20,1289766704,496,5
1,1,18,1289766704,501,17
1,1,139,1289766704,506,0
1,1,21,1289766704,504,5
1,1,54,1289766722,1712,21
1,1,38,1289766738,357,23
1,1,14,1289766748,3168,24
1,1,13,1289766748,3174,5
1,1,11,1289766748,3174,0
1,1,139,1289766748,3181,0
1,1,12,1289766748,3179,28
1,1,66,1289766750,2342,4
1,1,52,1289766761,1134,13
1,1,50,1289766761,1140,15
1,1,49,1289766761,1141,20
1,1,139,1289766761,1150,0
1,1,47,1289766761,1148,22
1,1,59,1289766771,832,28
1,1,60,1289766771,838,15
1,1,62,1289766771,834,16
1,1,139,1289766771,841,0
1,1,61,1289766771,839,22
1,1,33,1289766793,2528,1
1,1,36,1289766793,2529,12
1,1,139,1289766793,2539,0
1,1,34,1289766793,2536,5
1,1,35,1289766793,2537,26
1,1,10,1289766809,60,23
1,1,79,1289766839,667,16
1,1,78,1289766839,673,4
1,1,80,1289766839,676,8
1,1,76,1289766839,677,12
1,1,30,1289766850,685,7
1,1,41,1289766855,57,3
1,1,70,1289766862,3372,26
1,1,71,1289766862,3376,4
1,1,139,1289766862,3381,0
1,1,69,1289766862,3376,10
1,1,72,1289766862,3379,9
1,1,70,1289766862,3385,25
1,1,32,1289766871,2342,15
1,1,73,1289766883,2353,13
1,1,16,1289766889,2695,2
1,1,38,1289766896,1741,12
1,1,37,1289766896,1742,21
1,1,35,1289766896,1746,13
1,1,68,1289766901,2821,18
1,1,65,1289766901,2821,23
1,1,70,1289766901,2821,19
1,1,72,1289766901,2821,10
1,1,5,1289766902,2533,14
1,1,50,1289766905,3534,4
1,1,49,1289766905,3536,22
1,1,139,1289766905,3545,0
1,1,47,1289766905,3541,16
1,1,52,1289766905,3543,3
1,1,63,1289766921,381,21
1,1,65,1289766921,394,10
1,1,66,1289766921,397,2
1,1,14,1289766921,2947,15
1,1,47,1289766927,3535,2
1,1,37,1289766942,444,9
1,1,19,1289766962,1178,8
1,1,58,1289766985,2817,3
1,1,53,1289766985,2824,21
1,1,139,1289766985,2826,0
1,1,55,1289766985,2817,20
1,1,60,1289766985,2824,15
1,1,19,1289766990,2913,20
1,1,40,1289767009,1413,28
1,1,43,1289767029,2226,23
1,1,46,1289767040,2403,25
1,1,13,1289767042,332,24
1,1,80,1289767044,1792,7
1,1,36,1289767062,117,26
1,1,37,1289767062,115,0
1,1,38,1289767062,120,1
1,1,139,1289767062,129,0
1,1,35,1289767062,127,3
1,1,56,1289767069,1373,29
1,1,55,1289767069,1375,18
1,1,139,1289767069,1382,0
1,1,57,1289767069,1379,9
1,1,58,1289767069,1380,21
1,1,72,1289767085,896,19
1,1,74,1289767085,896,26
1,1,30,1289767126,1649,17
1,1,31,1289767126,1650,6
1,1,139,1289767126,1656,0
1,1,29,1289767126,1653,18
1,1,32,1289767126,1654,9
1,1,73,1289767128,1421,3
1,1,75,1289767128,1423,16
1,1,139,1289767128,1434,0
1,1,78,1289767128,1430,21
1,1,73,1289767128,1431,2
1,1,76,1289767128,1432,11
1,1,9,1289767137,319,16
1,1,41,1289767138,1810,3
1,1,15,1289767141,1373,23
1,1,71,1289767152,3319,23
1,1,74,1289767152,3325,7
1,1,69,1289767152,3327,1
1,1,76,1289767152,3333,5
1,1,139,1289767152,3335,0
