HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,0,72,46758,279,18
1,1,52,46759,1410,7
1,1,16,46760,2041,10
1,1,16,46761,187,8
1,1,92,46762,1469,12
1,1,104,46762,3344,8
1,1,16,46764,1977,9
1,1,60,46768,3084,20
1,1,121,46772,2748,28
1,0,128,46774,1089,9
1,1,42,46778,565,2
1,1,4,46779,510,5
1,1,121,46779,1702,2
1,1,121,46779,2535,28
1,1,121,46779,3068,29
1,1,121,46781,3528,10
1,0,4,46783,2658,8
1,1,38,46787,2620,2
1,1,121,46788,1316,26
1,1,121,46788,3003,11
1,0,101,46791,2397,10
1,0,121,46792,3426,29
1,0,4,46792,3426,16
1,0,119,46792,3435,11
1,0,7,46792,3432,13
1,0,122,46792,3426,1
1,0,5,46792,3427,9
1,0,139,46792,3437,0
1,0,6,46792,3432,22
1,0,124,46792,3424,2
1,0,123,46792,3437,9
1,0,3,46792,3432,21
1,1,44,46809,1079,28
1,0,4,46811,448,7
1,0,8,46811,2386,12
1,1,36,46812,215,9
1,1,36,46812,462,5
1,0,50,46814,2682,29
1,1,47,46814,2685,18
1,0,109,46814,2686,4
1,0,49,46814,2683,20
1,1,105,46814,2689,14
1,0,110,46814,2688,25
1,1,48,46814,2684,28
1,1,48,46814,2691,28
1,0,47,46814,2696,28
1,1,106,46814,2690,12
1,0,111,46814,2689,17
1,1,107,46814,2690,5
1,0,112,46814,2690,23
1,1,46,46814,2695,16
1,1,139,46814,2711,0
1,1,45,46814,2709,8
1,1,108,46814,2689,14
1,1,45,46814,2758,14
1,1,92,46821,138,10
1,1,44,46821,2760,23
1,1,4,46822,1522,0
1,1,63,46822,1582,6
1,0,86,46826,2705,9
1,0,6,46836,2656,15
1,1,101,46838,2393,16
1,1,116,46841,341,18
1,1,26,46842,1063,29
1,1,51,46842,1216,16
1,0,86,46843,2563,23
1,0,64,46844,2553,2
1,1,52,46854,344,16
1,1,57,46855,435,28
1,1,4,46874,396,24
1,1,4,46876,1772,17
1,0,81,46879,2063,16
1,1,22,46879,2812,17
1,1,21,46881,1794,17
1,0,119,46884,919,5
1,0,86,46888,2356,1
1,0,68,46889,211,10
1,0,68,46889,217,2
1,1,22,46893,1627,7
1,0,100,46895,1296,2
1,1,52,46898,581,5
1,1,15,46901,2677,8
1,0,105,46901,3508,21
1,1,48,46906,2059,27
1,1,4,46907,246,4
1,0,77,46909,2853,29
1,1,4,46912,1445,1
1,1,104,46913,70,3
1,1,16,46914,2446,11
1,1,88,46921,987,8
1,0,80,46923,751,26
1,1,8,46927,1239,6
1,0,71,46928,2720,0
1,0,8,46932,2775,10
1,0,80,46933,1809,21
1,1,73,46933,2059,16
1,1,12,46936,60,20
1,1,26,46940,822,26
1,1,77,46941,889,11
1,1,34,46942,2373,21
1,1,77,46946,1484,26
1,1,77,46947,2858,19
1,0,4,46948,1772,27
1,1,77,46949,2276,11
1,1,77,46949,2784,12
1,1,77,46949,3412,12
1,1,77,46950,2463,15
1,1,77,46951,356,28
1,1,83,46951,1340,27
1,1,85,46951,1345,18
1,1,87,46951,1351,10
1,1,77,46951,2307,29
1,1,77,46952,549,28
1,1,77,46952,800,19
